fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2016-01-2020:10:04,4423,936
2016-01-2021:10:04,8300,936
2016-01-2022:10:06,4831,1
2016-01-2023:10:04,1948,730
2016-01-2100:10:04,3122,2543
2016-01-2101:10:08,3122,2543
2016-01-2102:10:04,6917,17
2016-01-2103:10:04,6917,17
2016-01-2104:10:03,5441,1
2016-01-2105:10:03,6569,1
2016-01-2106:10:04,3012,0
2016-01-2107:10:05,1982,2429
2016-01-2108:10:04,1982,138
2016-01-2109:10:04,1982,4044
2016-01-2110:10:04,657,4226
2016-01-2111:10:05,664,4734
2016-01-2112:10:04,658,5127
2016-01-2113:10:04,657,7087
2016-01-2114:10:06,6596,7087
2016-01-2115:10:04,5152,1968
2016-01-2116:10:04,2945,1968
2016-01-2117:10:04,6348,0
2016-01-2118:10:04,8160,126
2016-01-2119:10:04,11429,0
2016-01-2120:10:04,6584,401
2016-01-2121:10:04,7503,0
2016-01-2122:10:04,4583,4163
2016-01-2123:10:05,5810,4163
2016-01-2200:10:05,8318,5041
2016-01-2201:10:05,8318,5041
2016-01-2202:10:05,2253,4261
2016-01-2203:10:04,3105,782
2016-01-2204:10:05,201,14
2016-01-2205:10:04,201,14
2016-01-2206:10:04,201,4452
2016-01-2207:10:04,201,4452
2016-01-2208:10:03,29,2009
2016-01-2209:10:03,29,1724
2016-01-2210:10:05,29,1192
2016-01-2211:10:04,29,4409
2016-01-2212:10:04,29,1571
2016-01-2213:10:05,29,1571
2016-01-2214:10:06,28419,56560
2016-01-2215:10:06,28419,200185
2016-01-2216:10:04,154812,339868
2016-01-2217:10:05,412899,339868
2016-01-2218:10:05,292109,150995
2016-01-2219:10:04,25312,36959
2016-01-2220:10:05,9457,18974
2016-01-2221:10:05,67198,21188
2016-01-2222:10:04,30605,7022
2016-01-2223:10:05,26495,50900
2016-01-2300:10:04,26495,50900
2016-01-2301:10:05,30426,60546
2016-01-2302:10:03,66088,15472
2016-01-2303:10:03,83760,14913
2016-01-2304:10:04,66876,7296
2016-01-2305:10:04,57470,957
2016-01-2306:10:05,43719,4448
2016-01-2307:10:04,43719,5911
2016-01-2308:10:04,42050,4340
2016-01-2309:10:04,40725,4055
2016-01-2310:10:04,36580,7108
2016-01-2311:10:03,41662,7108
2016-01-2312:10:05,35709,5552
2016-01-2313:10:05,31374,2951
2016-01-2314:10:04,23101,6374
2016-01-2315:10:04,16415,10406
2016-01-2316:10:05,16413,8264
2016-01-2317:10:05,19657,4039
2016-01-2318:10:04,16080,3202
2016-01-2319:10:05,16080,5386
2016-01-2320:10:05,18271,13542
2016-01-2321:10:04,12807,2559
2016-01-2322:10:04,6371,3023
2016-01-2323:10:04,5712,2585
2016-01-2400:10:04,5712,2585
2016-01-2401:10:05,5712,1635
2016-01-2402:10:05,4261,1335
2016-01-2403:10:04,4261,339
2016-01-2404:10:04,4261,2583
2016-01-2405:10:05,4261,2581
2016-01-2406:10:04,2017,2347
2016-01-2407:10:04,2017,5517
2016-01-2408:10:03,2017,4123
2016-01-2409:10:04,2017,7410
2016-01-2410:10:05,856,8806
2016-01-2411:10:05,856,2451
2016-01-2412:10:04,856,442
2016-01-2413:10:04,3239,2670
2016-01-2414:10:04,2630,6170
2016-01-2415:10:04,2630,4308
2016-01-2416:10:04,857,12148
2016-01-2417:10:05,5741,11362
2016-01-2418:10:04,5741,9776
2016-01-2419:10:04,5741,5333
2016-01-2420:10:04,3358,5714
2016-01-2421:10:04,856,5714
2016-01-2422:10:04,8360,11645
2016-01-2423:10:05,10271,10002
2016-01-2500:10:08,10271,10002
2016-01-2501:10:04,5855,5864
2016-01-2502:10:04,3126,5003
2016-01-2503:10:03,10363,5003
2016-01-2504:10:03,3126,5003
2016-01-2505:10:05,3126,15
2016-01-2506:10:04,3126,0
2016-01-2507:10:04,3126,0
2016-01-2508:10:04,1152,0
2016-01-2509:10:04,1152,259
2016-01-2510:10:04,1152,1154
2016-01-2511:10:04,1153,641
2016-01-2512:10:04,1152,3811
2016-01-2513:10:04,1152,2286
2016-01-2514:10:05,1152,3631
2016-01-2515:10:05,5724,5435
2016-01-2516:10:06,7224,3709
2016-01-2517:10:05,1428,2721
2016-01-2518:10:04,3351,5613
2016-01-2519:10:04,2243,4506
2016-01-2520:10:03,2037,4762
2016-01-2521:10:05,2712,4762
2016-01-2522:10:07,5782,1
2016-01-2523:10:05,3667,1
2016-01-2600:10:04,3667,1
2016-01-2601:10:04,1412,0
2016-01-2602:10:04,5491,0
2016-01-2603:10:04,50,0
2016-01-2604:10:03,730,0
2016-01-2605:10:04,730,0
2016-01-2606:10:04,50,0
2016-01-2607:10:03,50,0
2016-01-2608:10:04,2059,1
2016-01-2609:10:04,2059,80
2016-01-2610:10:04,2348,8503
2016-01-2611:10:05,50,5807
2016-01-2612:10:04,50,4178
2016-01-2613:10:04,2616,4164
2016-01-2614:10:04,4879,3649
2016-01-2615:10:05,7170,2364
2016-01-2616:10:04,7170,574
2016-01-2617:10:06,2680,154
2016-01-2618:10:04,2680,154
2016-01-2619:10:04,4071,972
2016-01-2620:10:04,4071,301
2016-01-2621:10:05,4071,234
2016-01-2622:10:04,50,1
2016-01-2623:10:06,50,654
2016-01-2700:10:05,50,654
2016-01-2701:10:04,50,654
2016-01-2702:10:03,3717,209
2016-01-2703:10:04,5073,209
2016-01-2704:10:04,1406,4380
2016-01-2705:10:05,4441,4380
2016-01-2706:10:04,4441,202
2016-01-2707:10:04,4441,202
2016-01-2708:10:04,4441,202
2016-01-2709:10:04,0,791
2016-01-2710:10:04,0,7755
2016-01-2711:10:04,0,4785
2016-01-2712:10:04,0,714
2016-01-2713:10:04,9,2345
2016-01-2714:10:06,9,2165
2016-01-2715:10:04,748,2165
2016-01-2716:10:06,105,2165
2016-01-2717:10:06,105,10669
2016-01-2718:10:04,105,410
2016-01-2719:10:04,16467,576
2016-01-2720:10:05,12348,576
2016-01-2721:10:05,16735,227
2016-01-2722:10:06,16735,617
2016-01-2723:10:04,16735,617
2016-01-2800:10:07,16735,617
2016-01-2801:10:04,6764,592
2016-01-2802:10:03,49,592
2016-01-2803:10:04,49,202
2016-01-2804:10:04,49,202
2016-01-2805:10:04,49,202
2016-01-2806:10:04,49,3649
2016-01-2807:10:03,49,4897
2016-01-2808:10:04,49,4897
2016-01-2809:10:03,50,1204
2016-01-2810:10:06,49,1314
2016-01-2811:10:04,49,5949
2016-01-2812:10:04,49,1693
2016-01-2813:10:03,238,4171
2016-01-2814:10:05,5160,4171
2016-01-2815:10:05,238,1903
2016-01-2816:10:05,8989,172
2016-01-2817:10:05,14833,172
2016-01-2818:10:04,12343,86
2016-01-2819:10:04,189,85
2016-01-2820:10:04,2544,1454
2016-01-2821:10:04,2,80
2016-01-2822:10:06,2,689
2016-01-2823:10:04,0,199
2016-01-2900:10:07,0,199
2016-01-2901:10:04,0,4576
2016-01-2902:10:05,0,3812
2016-01-2903:10:05,0,875
2016-01-2904:10:03,1233,875
2016-01-2905:10:04,0,875
2016-01-2906:10:05,0,875
2016-01-2907:10:05,0,875
2016-01-2908:10:04,477,875
2016-01-2909:10:04,477,5395
2016-01-2910:10:03,477,3840
2016-01-2911:10:05,0,2571
2016-01-2912:10:03,0,1351
2016-01-2913:10:04,0,1373
2016-01-2914:10:07,0,3361
2016-01-2915:10:04,0,9827
2016-01-2916:10:06,6044,11087
2016-01-2917:10:04,9066,3161
2016-01-2918:10:05,6319,3036
2016-01-2919:10:04,6319,1620
2016-01-2920:10:04,275,3163
2016-01-2921:10:04,275,996
2016-01-2922:10:09,1092,349
2016-01-2923:10:05,1092,7522
2016-01-3000:10:05,1092,7522
2016-01-3001:10:05,1092,1419
2016-01-3002:10:04,275,571
2016-01-3003:10:04,275,571
2016-01-3004:10:03,275,3432
2016-01-3005:10:04,275,3432
2016-01-3006:10:05,2717,2217
2016-01-3007:10:04,373,2217
2016-01-3008:10:21,3605,2432
2016-01-3009:10:04,3605,3502
2016-01-3010:10:03,2589,3503
2016-01-3011:10:05,373,3975
2016-01-3012:10:05,373,3759
2016-01-3013:10:03,3354,9206
2016-01-3014:10:04,3354,3981
2016-01-3015:10:08,3354,3981
2016-01-3016:10:05,3354,2300
2016-01-3017:10:04,373,2603
2016-01-3018:10:04,4521,2603
2016-01-3019:10:06,373,1836
2016-01-3020:10:03,373,1598
2016-01-3021:10:04,373,1598
2016-01-3022:10:05,373,1533
2016-01-3023:10:04,609,1533
2016-01-3100:10:05,609,1533
2016-01-3101:10:04,609,1532
